Name, Number, Prev Field, Next field, ?, ?, Research points, Tech level
TF0  : "Starting Tech"             ,    0,    0,    0,         0,         0,         0,  0;
TF1  : "Advanced Biology"          ,    1,   18,   34,         0,         0,       400,  5;
TF2  : "Advanced Chemistry"        ,    2,    9,   47,         0,         0,       650,  6;
TF3  : "Advanced Construction"     ,    3,    4,   21,         0,         0,       150,  3;
TF4  : "Advanced Engineering"      ,    4,   29,    3,         0,         0,        80,  2;
TF5  : "Advanced Fusion"           ,    5,   23,   41,         0,         0,       250,  4;
TF6  : "Advanced Governments"      ,    6,   12,   32,         0,         0,      4500, 13;
TF7  : "Advanced Magnetism"        ,    7,    0,   36,         0,         0,       250,  4;
TF8  : "Advanced Manufacturing"    ,    8,   19,   11,         0,         0,      1500,  9;
TF9  : "Advanced Metallurgy"       ,    9,   22,    2,         0,         0,       250,  4;
TF10 : "Military Tactics"          ,   10,    0,   73,         0,         0,       150,  3;
TF11 : "Advanced Robotics"         ,   11,    8,   67,         0,         0,      2000, 10;
TF12 : "Teaching Methods"          ,   12,   43,    6,         0,         0,      2000, 10;
TF13 : "Anti-Matter Fission"       ,   13,   41,   46,         0,         0,      2000, 10;
TF14 : "Artificial Consciousness"  ,   14,   60,   25,         0,         0,      1500,  9;
TF15 : "Artificial Intelligence"   ,   15,   56,   60,         0,         0,       400,  5;
TF16 : "Artificial Gravity"        ,   16,   54,   65,         0,         0,      1150,  8;
TF17 : "Artificial Life"           ,   17,   30,   70,         0,         0,      4500, 13;
TF18 : "Astro Biology"             ,   18,    0,    1,         0,         0,        80,  2;
TF19 : "Astro Construction"        ,   19,   63,    8,         0,         0,      1150,  8;
TF20 : "Astro Engineering"         ,   20,   21,   62,         0,         0,       400,  5;
TF21 : "Capsule Construction"      ,   21,    3,   20,         0,         0,       250,  4;
TF22 : "Chemistry"                 ,   22,    0,    9,         0,         0,        50,  1;
TF23 : "Cold Fusion"               ,   23,   55,    5,         0,         0,        80,  2;
TF24 : "Cybertechnics"             ,   24,   25,   33,         0,         0,      3500, 12;
TF25 : "Cybertronics"              ,   25,   14,   24,         0,         0,      2750, 11;
TF26 : "Distortion Fields"         ,   26,   64,   61,         0,         0,      3500, 12;
